nombre ph conductividad turbidez coliformes 
Fuente_1 5.00 124 0 1
Fuente_2 8.50 204 1 0
Fuente_3 7.14 289 0 0
Fuente_4 8.87 224 0 1
Fuente_5 6.25 126 0 0
Fuente_6 7.33 150 0 2
Fuente_7 6.78 110 1 1
Fuente_8 7.65 214 5 0
Fuente_9 6.80 207 0 0
Fuente_10 8.02 267 0 1
Fuente_11 6.34 168 0 0
Fuente_12 7.46 287 2 1
Fuente_13 7.14 120 0 0
Fuente_14 8.02 167 1 1
Fuente_15 5.45 114 6 0

Fuente_1 6.00 100	2 0
Fuente_2 7.19 158	0 0
Fuente_3 6.59 234	1 1
Fuente_4 7.75 239	0 1
Fuente_5 7.40 194	0 0
Fuente_6 6.66 163	0 0
Fuente_7 7.64 182	4 1
Fuente_8 7.16 161	3 0
Fuente_9 7.94 121	2 0
Fuente_10 7.83 105 0 0
Fuente_11 7.65 200 1 1
Fuente_12 7.46 214 0 0
Fuente_13 7.53 128 5 1
Fuente_14 6.49 117 2 1
Fuente_15 6.38 115 1 0
Fuente_1 7.49 102 2 1
Fuente_2 6.23 256 0 0
Fuente_3 7 147 0 1
Fuente_4 8.02 123 0 1
Fuente_5 7.48 168 1 0
Fuente_6 6.89 235 0 1
Fuente_7 7.25 266 1 1
Fuente_8 6.96 258 3 0
Fuente_9 6.58 149 2 2
Fuente_10 6.02 123 0 0
Fuente_11 7.96 200 1 1
Fuente_12 6.55 286 0 0
Fuente_13 6.23 104 0 0
Fuente_14 7.96 204 2 0
Fuente_15 7.52 111 1 2
Fuente_1 8.00 123 1 0
Fuente_2 7.14 178 0 1
Fuente_3 6.56 256 1 0
Fuente_4 7.95 245 1 0
Fuente_5 7.80 145 0 1
Fuente_6 6.76 134 3 0
Fuente_7 6.46 271 2 0
Fuente_8 7.96 161 3 1
Fuente_9 7.84 167 5 0
Fuente_10 7.53 234 0 1
Fuente_11 7.66 100 1 0
Fuente_12 7.80 267 5 0
Fuente_13 7.95 145 0 1
Fuente_14 6.84 187 2 1
Fuente_15 6.73 162 1 0
Fuente_1 5.00 124 0 1 
Fuente_2 8.50 204 1 0
Fuente_3 7.14 289 0 0
Fuente_4 8.87 224 0 1
Fuente_5 6.25 126 0 0
Fuente_6 7.33 150 0 2
Fuente_7 6.78 110 1 1
Fuente_8 7.65 214 5 0
Fuente_9 6.80 207 0 0
Fuente_10 8.02 267 0 1
Fuente_11 6.34 168 0 0
Fuente_12 7.46 287 2 1
Fuente_13 7.14 120 0 0
Fuente_14 8.02 167 1 1
Fuente_15 5.45 114 6 0
Fuente_1 7.00 120 0 1
Fuente_2 6.20 178 1 0
Fuente_3 5.95 258 1 0
Fuente_4 7.05 126 0 1
Fuente_5 7.34 189 2 0
Fuente_6 6.86 189 1 0
Fuente_7 7.05 284 5 0
Fuente_8 7.00 124 1 1
Fuente_9 6.94 126 0 0
Fuente_10 8.23 153 1 0
Fuente_11 5.16 144 0 1
Fuente_12 7.67 157 1 0
Fuente_13 7.45 160 0 0
Fuente_14 7.24 120 5 1
Fuente_15 6.56 178 0 0
Fuente_1 6.00 100 1 0
Fuente_2 7.20 158 0 0
Fuente_3 6.95 269 0 0
Fuente_4 7.75 239 0 0
Fuente_5 7.04 194 0 0
Fuente_6 6.66 163 0 0
Fuente_7 7.46 281 5 1
Fuente_8 7.56 161 3 1
Fuente_9 7.94 121 2 0
Fuente_10 7.83 103 0 0
Fuente_11 7.16 200 0 0
Fuente_12 7.43 214 0 0
Fuente_13 7.35 116 0 0
Fuente_14 6.94 117 1 1
Fuente_15 6.83 112 1 0
Fuente_1 6.00 100	2 0
Fuente_2 7.19 158	0 0
Fuente_3 6.59 234	1 1
Fuente_4 7.75 239	0 1
Fuente_5 7.40 194	0 0
Fuente_6 6.66 163	0 0
Fuente_7 7.64 182	4 1
Fuente_8 7.16 161	3 0
Fuente_9 7.94 121	2 0
Fuente_10 7.83 105 0 0
Fuente_11 7.65 200 1 1
Fuente_12 7.46 214 0 0
Fuente_13 7.53 128 5 1
Fuente_14 6.49 117 2 1
Fuente_15 6.38 115 1 0
Fuente_1 7.84 167 5 0
Fuente_2 7.53 234 0 1
Fuente_3 7.66 100 1 0
Fuente_4 7.80 267 5 0
Fuente_5 7.95 145 0 1
Fuente_6 6.84 187 2 1
Fuente_7 6.73 162 1 0
Fuente_8 6.92 108 0 0
Fuente_9 7.67 234 0 1
Fuente_10 6.87 279 5 0
Fuente_11 7.97 204 0 1
Fuente_12 7.39 210 0 0
Fuente_13 7.47 269 1 1
Fuente_14 6.90 104 1 1
Fuente_15 7.37 284 0 0

Fuente_1 6.00 100	2 0
Fuente_2 7.19 158	0 0
Fuente_3 6.59 234	1 1
Fuente_4 7.75 239	0 1
Fuente_5 7.40 194	0 0
Fuente_6 6.66 163	0 0
Fuente_7 7.64 182	4 1
Fuente_8 7.16 161	3 0
Fuente_9 7.94 121	2 0
Fuente_10 7.83 105 0 0
Fuente_11 7.65 200 1 1
Fuente_12 7.46 214 0 0
Fuente_13 7.53 128 5 1
Fuente_14 6.49 117 2 1
Fuente_15 6.38 115 1 0
Fuente_1 6.59 268 0 0
Fuente_2 7.99 201 3 1
Fuente_3 8.25 150 0 3
Fuente_4 6.06 108 0 2
Fuente_5 7.85 201 5 0
Fuente_6 7.23 145 3 0
Fuente_7 6.17 236 0 0
Fuente_8 6.74 163 0 0
Fuente_9 8.00 147 1 1
Fuente_10 5.98 114 0 0
Fuente_11 7.23 164 1 0
Fuente_12 7.86 269 0 2
Fuente_13 6.30  248 0 0
Fuente_14 5.59 258 4 0
Fuente_15 7.02 147 0 0

Fuente_1 6.75 241 0 1
Fuente_2 7.20 108 3 0
Fuente_3 7.96 114 5 2
Fuente_4 6.14 158 2 0
Fuente_5 7.66 236 0 0
Fuente_6 6.75 114 0 1
Fuente_7 7.57 147 1 0
Fuente_8 7.06 169 0 0
Fuente_9 7.05 125 0 1
Fuente_10 7.41 274 1 0
Fuente_11 7.96 200 1 1
Fuente_12 6.55 286 0 0
Fuente_13 6.23 104 0 0
Fuente_14 7.96 204 2 0
